Date,Account,Description,Category,Tags,Amount
2025-05-20,Chase Checking,Marriott Resort,Hotel,,-450.00
2025-05-22,Chase Checking,Whole Foods Market,Groceries,,-134.75
2025-05-25,Chase Checking,Kids Summer Camp,Kids,,-800.00
2025-05-28,Chase Checking,Hair Salon,Hair,,-65.00
2025-05-30,Chase Checking,Daycare Monthly,Childcare,,-1800.00
2025-06-01,Chase Checking,Company Payroll,Income,,5200.00
2025-06-03,Chase Checking,Mortgage Payment,Mortgage,,-2450.00
2025-06-05,Chase Checking,Comcast Internet,Utilities,,-89.99
2025-06-07,Chase Checking,Costco Wholesale,Groceries,,-267.80
2025-06-09,Chase Checking,Cheesecake Factory,Restaurants,,-78.50
2025-06-10,Chase Checking,Car Payment,Auto Payment,,-385.00
2025-06-12,Chase Checking,Shell Gas Station,Gas & Fuel,,-61.20
2025-06-14,Chase Checking,Amazon Shopping,Shopping,,-134.56
2025-06-15,Chase Checking,Company Payroll,Income,,5200.00
2025-06-16,Chase Checking,State Farm Insurance,Insurance,,-185.00
2025-06-18,Chase Checking,Nike Outlet,Clothing,,-145.00
2025-06-20,Chase Checking,Dog Grooming,Pets,,-85.00
2025-06-22,Chase Checking,PG&E Electric,Utilities,,-156.78
2025-06-25,Chase Checking,Kids Swimming Lessons,Kids,,-200.00
2025-06-28,Chase Checking,Daycare Monthly,Childcare,,-1800.00
2025-06-30,Chase Checking,Planet Fitness,Gym,,-24.99
